event_id,event_type,event_name,timestamp,timezone,country,category,expected,actual,surprise,surprise_pct,importance,notes,source
CPI-2023-01,CPI,CPI YoY Jan 2023,2023-01-12 08:30:00,US/Eastern,US,inflation,6.5,6.5,0.0,0.0,high,Inline with expectations,BLS
CPI-2023-02,CPI,CPI YoY Feb 2023,2023-02-14 08:30:00,US/Eastern,US,inflation,6.2,6.4,0.2,3.2,high,Hotter than expected,BLS
CPI-2023-03,CPI,CPI YoY Mar 2023,2023-03-14 08:30:00,US/Eastern,US,inflation,6.0,6.0,0.0,0.0,high,Inline,BLS
CPI-2023-04,CPI,CPI YoY Apr 2023,2023-04-12 08:30:00,US/Eastern,US,inflation,5.2,5.0,-0.2,-3.8,high,Cooler than expected,BLS
CPI-2023-05,CPI,CPI YoY May 2023,2023-05-10 08:30:00,US/Eastern,US,inflation,4.9,4.9,0.0,0.0,high,Inline,BLS
CPI-2023-06,CPI,CPI YoY Jun 2023,2023-06-13 08:30:00,US/Eastern,US,inflation,4.1,4.0,-0.1,-2.4,high,Slightly cooler,BLS
CPI-2023-07,CPI,CPI YoY Jul 2023,2023-07-12 08:30:00,US/Eastern,US,inflation,3.1,3.0,-0.1,-3.2,high,Slightly cooler,BLS
CPI-2023-08,CPI,CPI YoY Aug 2023,2023-08-10 08:30:00,US/Eastern,US,inflation,3.3,3.2,-0.1,-3.0,high,Slightly cooler,BLS
CPI-2023-09,CPI,CPI YoY Sep 2023,2023-09-13 08:30:00,US/Eastern,US,inflation,3.6,3.7,0.1,2.8,high,Slightly hotter,BLS
CPI-2023-10,CPI,CPI YoY Oct 2023,2023-10-12 08:30:00,US/Eastern,US,inflation,3.6,3.7,0.1,2.8,high,Slightly hotter,BLS
CPI-2023-11,CPI,CPI YoY Nov 2023,2023-11-14 08:30:00,US/Eastern,US,inflation,3.3,3.2,-0.1,-3.0,high,Cooler,BLS
CPI-2023-12,CPI,CPI YoY Dec 2023,2023-12-12 08:30:00,US/Eastern,US,inflation,3.1,3.1,0.0,0.0,high,Inline,BLS
CPI-2024-01,CPI,CPI YoY Jan 2024,2024-01-11 08:30:00,US/Eastern,US,inflation,2.9,3.1,0.2,6.9,high,Hotter than expected,BLS
CPI-2024-02,CPI,CPI YoY Feb 2024,2024-02-13 08:30:00,US/Eastern,US,inflation,2.9,3.1,0.2,6.9,high,Hotter than expected,BLS
CPI-2024-03,CPI,CPI YoY Mar 2024,2024-03-12 08:30:00,US/Eastern,US,inflation,3.1,3.5,0.4,12.9,high,Much hotter than expected,BLS
CPI-2024-04,CPI,CPI YoY Apr 2024,2024-04-10 08:30:00,US/Eastern,US,inflation,3.4,3.5,0.1,2.9,high,Slightly hotter,BLS
CPI-2024-05,CPI,CPI YoY May 2024,2024-05-15 08:30:00,US/Eastern,US,inflation,3.4,3.4,0.0,0.0,high,Inline,BLS
CPI-2024-06,CPI,CPI YoY Jun 2024,2024-06-12 08:30:00,US/Eastern,US,inflation,3.4,3.3,-0.1,-2.9,high,Cooler,BLS
CPI-2024-07,CPI,CPI YoY Jul 2024,2024-07-11 08:30:00,US/Eastern,US,inflation,3.1,3.0,-0.1,-3.2,high,Cooler,BLS
CPI-2024-08,CPI,CPI YoY Aug 2024,2024-08-14 08:30:00,US/Eastern,US,inflation,2.9,2.9,0.0,0.0,high,Inline,BLS
